Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -59) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -62) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -63) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -62) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -63) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -62) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -63) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -55) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -55) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -62) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -59) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -59) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Summary:  24:0A:C4:23:D9:B0 540 {'B8:63:4D:A2:0E:13': -56.6}
Summary:  24:0A:C4:23:C1:EC 421 {'B8:63:4D:A2:0E:13': -58.9}
Summary:  3C:71:BF:99:F9:E0 561 {'B8:63:4D:A2:0E:13': -54.2}
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -55) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -59) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -59) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -59) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -55) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -65) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -50) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -64) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -59) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -50) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -52) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '40')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -54) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -58) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
